ent_num,alt_num,alt_type,alt_name,alt_remarks,match_1_id,match_1_name,match_1_distance,match_1_similarity,match_2_id,match_2_name,match_2_distance,match_2_similarity,match_3_id,match_3_name,match_3_distance,match_3_similarity,match_4_id,match_4_name,match_4_distance,match_4_similarity,match_5_id,match_5_name,match_5_distance,match_5_similarity
48962,76569.0,aka,M I N S GENERAL TRADING L.L.C.,-0- ,43457,tradive general trading l.l.c,0.12115079164505005,0.87884920835495,50097,k f d general trading l.l.c,0.12172240018844604,0.878277599811554,47452,qemat al najah general trading l.l.c,0.22482198476791382,0.7751780152320862,40968,bavi general trading co l.l.c,0.2467709183692932,0.7532290816307068,49682,o n c u trading l.l.c.,0.25005877017974854,0.7499412298202515
34773,54570.0,aka,OOO 24X7 PANOPTES,-0- ,41385,pan hao,0.42897355556488037,0.5710264444351196,16839,panya ag,0.536600649356842,0.46339935064315796,36537,ooo aqua solid,0.5581720471382141,0.4418279528617859,25101,panazeate sl,0.5641021132469177,0.4358978867530823,34680,trinitex ooo,0.5688437223434448,0.4311562776565552
20222,31878.0,aka,"HABIB, Salih",-0- ,18530,al-aruri salih,0.34339308738708496,0.656606912612915,8401,salih abd al-munim ahmad,0.3550316095352173,0.6449683904647827,21945,sallum muhammad,0.3700082302093506,0.6299917697906494,18600,al-sha'iri husayn al-salihin salih,0.37859416007995605,0.621405839920044,10476,sughayr muhammad 'abdallah salih,0.38583117723464966,0.6141688227653503
8085,6009.0,aka,EL-AHOUAL BATTALION,-0- ,7268,tunisian combat group,0.4979344606399536,0.5020655393600464,20700,el abboubi anas,0.4995824694633484,0.5004175305366516,9333,elehssan,0.5168122053146362,0.48318779468536377,11315,el habhab redouane,0.5202722549438477,0.47972774505615234,48500,elar,0.5210041999816895,0.47899580001831055
29677,46544.0,aka,"FENYANUS, Joseph",-0- ,11018,kony joseph,0.3900073170661926,0.6099926829338074,34982,kinahan daniel joseph,0.39326101541519165,0.6067389845848083,6860,gilboa joseph,0.501915454864502,0.49808454513549805,15228,sweid joseph jurji,0.5023834705352783,0.4976165294647217,37419,haidamous joseph ilya,0.5065015554428101,0.49349844455718994
37682,59058.0,aka,JOINT STOCK COMPANY KNIRTI,-0- ,34643,iks joint stock company,0.19313329458236694,0.8068667054176331,35854,joint stock company kronshtadt,0.20189541578292847,0.7981045842170715,35887,joint stock company zavod kulakova,0.24085402488708496,0.759145975112915,46679,joint stock company kamenskvolokno,0.24190741777420044,0.7580925822257996,49219,joint stock company the central research institute kurs,0.24270939826965332,0.7572906017303467
36040,56745.0,aka,JSC NAUCHNO-ISSLEDOVATELSKOYE PROYEKTNO-TEKHNOLOGICHESKOYE BYURO ONEGA,-0- ,46434,spetsialnoe konstruktorsko tekhnologicheskoe byuro plastik,0.2490420937538147,0.7509579062461853,48835,obshchestvo s ogranichennoi otvetstvennostiu tekhnologicheskie sistemy i servis,0.27359843254089355,0.7264015674591064,47332,aktsionernoe obshchestvo nauchno issledovatelski proektno konstruktorski i tekhnologicheski akkumulyatorny institut istochnik,0.28831541538238525,0.7116845846176147,16864,konstruktorskoe byuro priborostroeniya otkrytoe aktsionernoe obshchestvo,0.3093346953392029,0.6906653046607971,40587,aktsionernoye obshchestvo tsentralnoye konstruktorskoye byuro lazurit,0.31377315521240234,0.6862268447875977
27187,43045.0,aka,VANIYA SHIP MANAGEMENT PVT LTD,-0- ,27187,vaniya ship management private limited,0.11736035346984863,0.8826396465301514,46622,sun ship management d ltd,0.3038851022720337,0.6961148977279663,25473,rahbaran omid darya ship management co.,0.3040669560432434,0.6959330439567566,38377,pioneer shipmanagement pte. ltd.,0.3679943084716797,0.6320056915283203,18955,pyongjin ship management company limited,0.368690550327301,0.631309449672699
17754,62630.0,aka,"HUBAREVA, Katerina Yuriivna",-0- ,37808,todorova anna yurievna,0.2360990047454834,0.7639009952545166,36236,tikhonova katerina vladimirovna,0.24251645803451538,0.7574835419654846,37335,kuznetsova anna yurievna,0.2782297730445862,0.7217702269554138,39210,tumilina tetyana yuriivna,0.29484254121780396,0.705157458782196,23584,nikonorova natalya yurievna,0.31152307987213135,0.6884769201278687
12596,13526.0,aka,"JA'FARI-DOWLATABADI, Abbas",-0- ,50539,ja'farabadi ali,0.18203914165496826,0.8179608583450317,12596,jafari dolatabadi abbas,0.2100505828857422,0.7899494171142578,50668,farsani alireza babaei,0.30660271644592285,0.6933972835540771,24471,ja'fari mohammad agha,0.3190001845359802,0.6809998154640198,47177,al-hamidawi awqad muhsin faraj,0.3440116047859192,0.6559883952140808
